title,film_year,watched_date,rating,tags,review,link
Iverson,2014.0,2019-01-01,3.0,"netflix, streaming",,https://letterboxd.com/farbeach/film/iverson/
Mary Poppins Returns,2018.0,2019-01-02,4.0,"imax, cinema","Good actors, nice story, can't remember the songs anymore, but I remember I enjoyed them. Solid.",https://letterboxd.com/farbeach/film/mary-poppins-returns/
The Grinch,2018.0,2019-01-02,2.0,"finnkino, cinema","I don't think it added anything to the world of Grinch films.",https://letterboxd.com/farbeach/film/the-grinch/
Spider-Man: Into the Spider-Verse,2018.0,2019-01-03,5.0,"finnkino, cinema","Animation playing to its strenghts. A comic book film that feels and looks like a comic book. Great.",https://letterboxd.com/farbeach/film/spider-man-into-the-spider-verse/
The Meyerowitz Stories (New and Selected),2017.0,2019-01-09,4.0,"netflix, streaming","I liked the vibe, the feel of the movie, and the acting, but it wasn't fully satisfying.",https://letterboxd.com/farbeach/film/the-meyerowitz-stories-new-and-selected/
Shoplifters,2018.0,2019-01-09,5.0,"riviera, cinema","Good acting, also from kids. A different kind of family concept. Great quiet depiction of poor life in Japan.",https://letterboxd.com/farbeach/film/shoplifters/
Call Me by Your Name,2017.0,2019-01-11,4.0,"riviera, cinema",Excellent depiction of teenage first crush,https://letterboxd.com/farbeach/film/call-me-by-your-name/
Moonstruck,1987.0,2019-01-11,3.0,"amazon, streaming","I liked Nicholas Cage in this. Overall a bit formulaic romcom.",https://letterboxd.com/farbeach/film/moonstruck/
Inside Llewyn Davis,2013.0,2019-01-16,4.0,"amazon, streaming","First Oscar Isaac movie I've seen aside from Star Wars. He is clearly very talented. Loved the music too.",https://letterboxd.com/farbeach/film/inside-llewyn-davis/
Green Book,2018.0,2019-01-18,4.0,"kino engel, cinema","Really good main actors, and the story was also touching. A little predictable, but it's based on a real story so I guess that's acceptable.",https://letterboxd.com/farbeach/film/green-book/
Le Temps des Forêts,,2019-01-28,4.0,"film festival, finnkino, docpoint festival, cinema",,https://letterboxd.com/farbeach/film/le-temps-des-forets/
Roma,2018.0,2019-01-31,5.0,"netflix, streaming","Visually stunning. Amazing cinematography. The black and white worked perfectly. Everything felt authentic.",https://letterboxd.com/farbeach/film/roma-2018/
Free Solo,2018.0,2019-02-01,5.0,"finnkino, cinema","Incredibly tense. A documentary that works as a thriller.",https://letterboxd.com/farbeach/film/free-solo/
